指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931588",1000价值稳健,2020-11-09,=0.0022,=36125.7200,=0.1538,=20.8562,=0.8838,=12.8074,=16.6015,=18.2024,=20.2527,=24.5820,=1.4106,=0.4272,=1.0253,=1.2605,=1.4405,=1.5763,=1.9102,=0.7645,=0.9861,=0.4756,=0.5478,=0.6234,=0.6715,=0.7888,=0.0560,=0.0748,=0.0582,=0.0257,=95
="399396",国证食品,2012-10-29,=-0.0063,=17841.8500,=-0.0982,=20.8913,=0.0658,=17.1702,=23.9388,=30.0838,=37.2793,=66.0937,=4.2800,=0.0741,=3.4218,=4.5981,=6.0903,=7.6271,=14.3214,=3.8362,=0.1066,=2.9175,=3.9691,=5.0470,=6.2469,=12.4529,=0.1622,=0.2169,=0.1761,=0.0369,=1576
="000036",上证消费,2009-01-09,=-0.0034,=11008.0600,=-0.0650,=21.0173,=0.0263,=18.1662,=24.2265,=31.6640,=40.5861,=69.3963,=5.2932,=0.2251,=3.3173,=5.0677,=6.5355,=9.1985,=14.9810,=4.6502,=0.3807,=1.5134,=3.3782,=4.8630,=7.3379,=10.9001,=0.1966,=0.2587,=0.2049,=0.0354,=2237
="930796",全球中国互联网,2016-04-22,=0.0009,=2193.5075,=0.1674,=21.4065,=0.1763,=15.2629,=21.8698,=40.4327,=54.3859,=115.7107,=3.0818,=0.3085,=1.8023,=2.7100,=4.8487,=6.9749,=9.6202,=2.7637,=0.3418,=1.5064,=2.3204,=4.0433,=6.5973,=9.5215,,=0.1606,,=0.0080,=12
="000985",中证全指,2011-08-02,=0.0033,=5938.2900,=0.2500,=21.5590,=0.9720,=12.6044,=15.9688,=17.6396,=19.9496,=23.0798,=1.8107,=0.5823,=1.2581,=1.5485,=1.7146,=1.9828,=2.5301,=1.6604,=0.8407,=1.0381,=1.2276,=1.3878,=1.6334,=2.0088,=0.0662,=0.0778,=0.0661,=0.0206,=489
="399701",深证F60,2010-05-10,=0.0048,=7965.1800,=0.0503,=21.5673,=0.7519,=12.1841,=16.7737,=19.4448,=21.9012,=29.1141,=2.0735,=0.3226,=1.6712,=1.9903,=2.1854,=2.5391,=3.7270,=1.3404,=0.4560,=1.0125,=1.2355,=1.3615,=1.5630,=2.4139,=0.0690,=0.0835,=0.0686,=0.0262,=1667
="930653",CS食品饮,2015-06-05,=-0.0058,=15392.1500,=-0.0698,=21.6959,=0.0724,=17.6031,=25.2930,=31.2847,=38.3098,=65.8842,=4.0715,=0.0646,=3.4455,=4.4404,=5.7095,=7.1289,=12.9907,=3.5864,=0.0720,=3.0094,=3.8362,=4.7570,=5.8490,=11.4166,=0.1493,=0.1986,=0.1626,=0.0355,=857
="000904",中证200,2007-01-15,=0.0055,=5662.3600,=0.2419,=21.7807,=0.9395,=11.9474,=14.9328,=16.7930,=19.2776,=32.7036,=1.9464,=0.6634,=1.2748,=1.5010,=1.7469,=2.0830,=3.0858,=1.3729,=0.3984,=1.0540,=1.2920,=1.4409,=1.6983,=2.1135,=0.0670,=0.0839,=0.0703,=0.0232,=721
="399370",国证成长,2010-01-04,=0.0073,=5107.2100,=0.3112,=21.9902,=0.5831,=14.0104,=18.3478,=21.2223,=25.6798,=39.9195,=3.1658,=0.6568,=1.9695,=2.5719,=2.9302,=4.0392,=6.0628,=1.9485,=0.3827,=1.2188,=1.6926,=2.1593,=2.8034,=3.4917,=0.1050,=0.1275,=0.0984,=0.0203,=97
="000126",消费50,2011-12-09,=0.0029,=8334.2800,=-0.0161,=22.1194,=0.4226,=15.1608,=19.9550,=22.8450,=32.8648,=57.2206,=3.2715,=0.3823,=2.2360,=2.9316,=3.3998,=4.8656,=7.3797,=1.8018,=0.4852,=0.9155,=1.2173,=1.8238,=2.6425,=3.8011,=0.1183,=0.1509,=0.1216,=0.0294,=57
="HSAIT",恒生人工智能主题指数,2023-09-01,=0.0006,=4256.2500,=0.3051,=22.2193,=0.8982,=13.3665,=17.8115,=19.5369,=21.3984,=24.5500,=2.4536,=0.7579,=1.4634,=1.7188,=1.9502,=2.4876,=2.8773,=2.2912,=0.8140,=1.2708,=1.4802,=1.5994,=2.2753,=2.6741,,=0.1140,,=0.0180,=46
