指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="H30184",半导体,2013-07-15,=-0.0545,=10171.2900,=0.1053,=129.8666,=0.9732,=33.2056,=51.3716,=73.9376,=102.8464,=154.8888,=7.6203,=0.8571,=2.5082,=3.3592,=4.5914,=7.1112,=12.2763,=12.2067,=0.9786,=1.3963,=2.6379,=6.7571,=8.7088,=13.8397,=0.0408,=0.0412,=0.0347,=0.0014,=3186
="980076",通用航空,2012-12-28,=-0.0193,=3808,=0.0262,=131.2576,=0.9309,=69.9916,=78.9972,=96.1444,=103.8086,=152.8681,=4.4230,=0.9309,=2.7445,=3.1648,=3.3853,=3.6442,=5.1513,=5.4328,=0.9309,=3.4358,=4.0092,=4.2246,=4.4551,=6.3273,=0.0306,,,=0.0043,=29
="CN5075",国证信创,2015-02-16,,,=0.1741,=131.6791,=0.8788,=39.3034,=49.3472,=71.5569,=119.2357,=152.0158,=7.5615,=0.9423,=3.0386,=3.5224,=5.0006,=6.5871,=8.1344,=5.7160,=0.9423,=2.8415,=3.6343,=4.2595,=5.1390,=6.1508,=0.0417,=0.0597,=0.0465,=0.0030,=23
="931521",高装细分50,2020-07-08,=-0.0170,=3440.8500,=0.0345,=134.8174,=0.9791,=33.8051,=48.0961,=53.5946,=83.3944,=160.3029,=4.8914,=0.7737,=2.5146,=3.4158,=4.0768,=5.0055,=6.8876,=5.4308,=0.8876,=2.7226,=3.8043,=4.3932,=5.0588,=6.7300,=0.0315,=0.0365,=0.0369,=0.0045,=69
="H30007",芯片产业,2012-12-20,=-0.0527,=3484.1100,=0.1003,=135.5839,=0.9621,=24.2382,=40.3400,=64.8975,=99.3959,=186.5687,=7.6829,=0.8801,=1.9412,=3.6296,=4.4439,=6.8974,=11.2654,=10.9254,=0.9848,=1.5871,=3.6007,=6.3085,=7.9074,=12.2264,=0.0458,=0.0403,=0.0319,=0.0013,=470
="990001",中华半导体芯片,2019-03-18,=-0.0521,=13307.5500,=0.1008,=135.7764,=0.9647,=33.1780,=60.8336,=82.7187,=111.2216,=160.7761,=7.5120,=0.8402,=3.1429,=4.2254,=5.2344,=7.3234,=10.9977,=11.0225,=0.9647,=3.3238,=6.0141,=7.0126,=8.4221,=12.8553,=0.0430,=0.0381,=0.0329,=0.0013,=1333
="980017",国证芯片,2015-02-17,=-0.0490,=14031.1500,=0.1060,=139.4909,=0.9687,=30.3742,=54.7811,=75.9790,=101.5548,=170.4280,=7.5882,=0.8494,=3.1638,=4.0466,=5.4844,=7.2945,=10.4020,=11.1673,=0.9860,=3.6283,=5.7349,=6.5574,=7.7485,=12.1345,=0.0459,=0.0457,=0.0377,=0.0013,=2487
="931865",中证半导,2019-03-20,=-0.0464,=5463.4000,=0.1040,=141.5790,=0.9515,=32.8138,=42.8588,=69.9300,=101.1993,=160.7441,=9.2601,=0.9582,=3.3892,=4.1074,=4.9021,=6.1432,=10.2696,=16.7808,=0.9582,=6.4190,=7.6454,=8.4462,=11.1546,=18.6199,=0.0487,=0.0525,=0.0410,=0.0009,=160
="950180",科创AI,2024-07-25,=-0.0422,=2525.1800,=0.1237,=153.4728,=0.6216,=66.2784,=95.0166,=138.6257,=174.6187,=271.3436,=11.5173,=0.8784,=3.9039,=5.7510,=8.4139,=10.7559,=12.7815,=16.3693,=0.8378,=6.3298,=9.1073,=12.6151,=15.8616,=18.3701,=0.0572,,,=0.0022,=177
="932087",集成电路,2023-03-29,=-0.0567,=1255.0200,=0.1081,=156.1324,=0.8611,=46.1239,=97.0534,=129.6808,=150.6401,=195.7770,=7.7326,=0.9624,=3.1405,=3.7655,=4.7376,=5.7599,=8.4401,=12.9124,=0.9580,=5.8347,=7.4334,=8.6500,=10.5281,=14.0981,=0.0363,=0.0350,=0.0271,=0.0013,=18
